dataset,pid,path,sx,sy,sz,nx,ny,nz,fov_x,fov_y,fov_z,raw_min,raw_max,mean,std,q01,q50,q99,frac_below,frac_above,eff_spacing_h,eff_spacing_w,slab_z_mm
train(totalseg),s0380,F:\Totalsegmentator_dataset_v201\nii\s0380.nii.gz,1.5,1.5,1.5,287,287,177,430.5,430.5,265.5,-1153.0,3335.0,-581.2125854492188,490.51873779296875,-1024.0,-933.0,413.0,0.0018020044830623103,0.0009673976564064717,1.681640625,1.681640625,18.0
train(totalseg),s0389,F:\Totalsegmentator_dataset_v201\nii\s0389.nii.gz,1.5,1.5,1.5,171,171,110,256.5,256.5,165.0,-1041.0,3161.0,-276.37066650390625,406.4955139160156,-1013.0,-95.0,582.0,0.0002760756223360102,0.0007044902705105844,1.001953125,1.001953125,18.0
train(totalseg),s0385,F:\Totalsegmentator_dataset_v201\nii\s0385.nii.gz,1.5,1.5,1.5,243,243,182,364.5,364.5,273.0,-1405.0,3665.0,-361.9715881347656,508.4268493652344,-1039.0,-137.0,666.0,0.03966830304278864,0.006131246186115871,1.423828125,1.423828125,18.0
train(totalseg),s0391,F:\Totalsegmentator_dataset_v201\nii\s0391.nii.gz,1.5,1.5,1.5,193,193,112,289.5,289.5,168.0,-1283.0,3407.0,-554.18603515625,511.88714599609375,-1027.0,-856.0,577.0,0.018107620287207957,0.0023198118838224403,1.130859375,1.130859375,18.0
train(totalseg),s0382,F:\Totalsegmentator_dataset_v201\nii\s0382.nii.gz,1.5,1.5,1.5,232,232,309,348.0,348.0,463.5,-1286.0,3391.0,-618.078369140625,502.66064453125,-1018.0,-943.0,791.0,0.0007186310511386082,0.006535321690211574,1.359375,1.359375,18.0
train(totalseg),s0383,F:\Totalsegmentator_dataset_v201\nii\s0383.nii.gz,1.5,1.5000001192092896,1.5,247,145,385,370.5,217.50001728534698,577.5,-1160.0,2204.0,-277.6919860839844,427.2763977050781,-1024.0,-103.0,412.0,0.004652697574657647,0.0005360882311880497,0.8496094425208867,1.447265625,18.0
train(totalseg),s0396,F:\Totalsegmentator_dataset_v201\nii\s0396.nii.gz,1.5,1.5,1.5,95,94,105,142.5,141.0,157.5,-1467.0,1793.0,-214.29393005371094,485.8681945800781,-1029.0,23.0,818.0,0.012577187649976004,0.00446861835439663,0.55078125,0.556640625,18.0
train(totalseg),s0395,F:\Totalsegmentator_dataset_v201\nii\s0395.nii.gz,1.5,1.5,1.5,333,333,38,499.5,499.5,57.0,-1252.0,3593.0,-637.62451171875,475.5041198730469,-1034.0,-949.0,313.0,0.03176077927144783,0.0011426789520672877,1.951171875,1.951171875,18.0
train(totalseg),s0393,F:\Totalsegmentator_dataset_v201\nii\s0393.nii.gz,1.5,1.5,1.5,221,221,206,331.5,331.5,309.0,-1272.0,3513.0,-513.0758056640625,514.6956176757812,-1027.0,-830.0,552.0,0.014318896757361163,0.0015838986209467014,1.294921875,1.294921875,18.0
train(totalseg),s0394,F:\Totalsegmentator_dataset_v201\nii\s0394.nii.gz,1.5,1.5,1.5,225,225,275,337.5,337.5,412.5,-1317.0,3574.0,-457.4355163574219,505.9864501953125,-1018.0,-582.0,456.0,0.001957422417087347,0.0017261318155306611,1.318359375,1.318359375,18.0
train(totalseg),s0398,F:\Totalsegmentator_dataset_v201\nii\s0398.nii.gz,1.5,1.5,1.5,221,221,201,331.5,331.5,301.5,-1327.0,3445.0,-447.92425537109375,510.294677734375,-1028.0,-309.0,596.0,0.014504873920818331,0.002470193423784856,1.294921875,1.294921875,18.0
train(totalseg),s0399,F:\Totalsegmentator_dataset_v201\nii\s0399.nii.gz,1.5,1.5,1.5,227,227,157,340.5,340.5,235.5,-1220.0,2060.0,-432.5901184082031,492.8479919433594,-1034.0,-173.0,466.0,0.028192020944233384,0.0030179028449126735,1.330078125,1.330078125,18.0
train(totalseg),s0400,F:\Totalsegmentator_dataset_v201\nii\s0400.nii.gz,1.5,1.5000001192092896,1.5,225,160,203,337.5,240.00001907348633,304.5,-1334.0,3469.0,-515.0990600585938,545.1564331054688,-1023.0,-905.0,1094.0,0.0032862616310892173,0.011120415982484947,0.937500074505806,1.318359375,18.0
train(totalseg),s0392,F:\Totalsegmentator_dataset_v201\nii\s0392.nii.gz,1.5,1.5,1.5,267,267,270,400.5,400.5,405.0,-1109.0,3447.0,-597.943115234375,490.7682800292969,-1024.0,-931.0,505.0,0.00479737406893069,0.002271401281066166,1.564453125,1.564453125,18.0
train(totalseg),s0390,F:\Totalsegmentator_dataset_v201\nii\s0390.nii.gz,1.5,1.5,1.5,247,247,299,370.5,370.5,448.5,-1057.0,3322.0,-476.6406555175781,498.7132263183594,-1023.0,-476.0,432.0,0.002783731779384597,0.0012224737825970167,1.447265625,1.447265625,18.0
train(totalseg),s0405,F:\Totalsegmentator_dataset_v201\nii\s0405.nii.gz,1.5,1.5,1.5,196,196,182,294.0,294.0,273.0,-1309.0,3628.0,-453.7933654785156,529.9356689453125,-1030.0,-722.0,658.0,0.020572929777427904,0.0045482422616949895,1.1484375,1.1484375,18.0
train(totalseg),s0411,F:\Totalsegmentator_dataset_v201\nii\s0411.nii.gz,1.5,1.5,1.5,121,121,154,181.5,181.5,231.0,-1160.0,3193.0,-328.01031494140625,565.4114379882812,-1028.0,-152.0,1618.0,0.021778371891069112,0.020964077927400106,0.708984375,0.708984375,18.0
train(totalseg),s0401,F:\Totalsegmentator_dataset_v201\nii\s0401.nii.gz,1.5,1.5,1.5,233,233,295,349.5,349.5,442.5,-1053.0,1538.0,-577.8428344726562,492.20855712890625,-1015.0,-947.0,307.0,0.0006007396571906401,0.0011525884348905547,1.365234375,1.365234375,18.0
train(totalseg),s0407,F:\Totalsegmentator_dataset_v201\nii\s0407.nii.gz,1.5,1.5,1.5,215,215,228,322.5,322.5,342.0,-1187.0,3446.0,-420.642578125,499.5598449707031,-1030.0,-344.0,604.0,0.017451823176112265,0.0025959978366684694,1.259765625,1.259765625,18.0
train(totalseg),s0410,F:\Totalsegmentator_dataset_v201\nii\s0410.nii.gz,1.5,1.5,1.5,151,151,75,226.5,226.5,112.5,-1038.0,3148.0,-483.7673645019531,614.5029907226562,-1024.0,-952.0,1410.0,0.0018051839831586334,0.026460827741473326,0.884765625,0.884765625,18.0
train(totalseg),s0414,F:\Totalsegmentator_dataset_v201\nii\s0414.nii.gz,1.5,1.5,1.5,199,199,171,298.5,298.5,256.5,-1226.0,3523.0,-403.27099609375,507.01580810546875,-1026.0,-159.0,558.0,0.014175905508927352,0.0024986074545923875,1.166015625,1.166015625,18.0
train(totalseg),s0418,F:\Totalsegmentator_dataset_v201\nii\s0418.nii.gz,1.5,1.5,1.5,235,235,62,352.5,352.5,93.0,-1038.0,3273.0,-498.0464172363281,516.904541015625,-1015.0,-891.0,478.0,0.00048014719841119177,0.0020531841878532104,1.376953125,1.376953125,18.0
train(totalseg),s0417,F:\Totalsegmentator_dataset_v201\nii\s0417.nii.gz,1.0,1.0,1.0,142,161,86,142.0,161.0,86.0,-1305.9998779296875,3472.0,-478.2817077636719,643.8775634765625,-1022.9725341796875,-970.9894409179688,1298.98876953125,0.004827753172218345,0.019897951917775613,0.62890625,0.5546875,12.0
train(totalseg),s0406,F:\Totalsegmentator_dataset_v201\nii\s0406.nii.gz,1.5,1.5,1.5,278,278,316,417.0,417.0,474.0,-1218.0,1345.0,-501.6040344238281,494.653076171875,-1024.0,-760.0,339.0,0.004045574460927203,0.0003268398314485925,1.62890625,1.62890625,18.0
train(totalseg),s0413,F:\Totalsegmentator_dataset_v201\nii\s0413.nii.gz,1.5,1.5,1.5,261,261,204,391.5,391.5,306.0,-1138.0,1612.0,-480.81109619140625,466.88568115234375,-1024.0,-187.0,344.0,0.0026969017867352124,0.0006387133854277642,1.529296875,1.529296875,18.0
train(totalseg),s0403,F:\Totalsegmentator_dataset_v201\nii\s0403.nii.gz,1.5,1.5,1.5,267,267,391,400.5,400.5,586.5,-1121.0,3420.0,-558.2425537109375,486.921630859375,-1024.0,-916.0,397.0,0.0033264691109994977,0.0010939226519337017,1.564453125,1.564453125,18.0
train(totalseg),s0402,F:\Totalsegmentator_dataset_v201\nii\s0402.nii.gz,1.5,1.5,1.5,264,264,429,396.0,396.0,643.5,-1051.0,3119.0,-577.5949096679688,490.152587890625,-1024.0,-938.0,377.0,0.0032348269658547158,0.0012752683230773398,1.546875,1.546875,18.0
train(totalseg),s0416,F:\Totalsegmentator_dataset_v201\nii\s0416.nii.gz,1.5,1.5,1.5,212,212,328,318.0,318.0,492.0,-1035.0,1567.0,-486.33001708984375,519.4476928710938,-1018.0,-835.0,508.0,0.0016057923573183756,0.001588969253879082,1.2421875,1.2421875,18.0
train(totalseg),s0420,F:\Totalsegmentator_dataset_v201\nii\s0420.nii.gz,1.5,1.5,1.5,209,209,219,313.5,313.5,328.5,-1393.0,3723.0,-491.5226745605469,537.7913208007812,-1025.0,-828.0,683.0,0.010570094102741545,0.004553560788363959,1.224609375,1.224609375,18.0
train(totalseg),s0424,F:\Totalsegmentator_dataset_v201\nii\s0424.nii.gz,1.5,1.5,1.5,130,130,153,195.0,195.0,229.5,-1042.0,3206.0,-274.27349853515625,474.4752197265625,-1019.0,-74.0,683.0,0.0011022160343427312,0.0036144951077077773,0.76171875,0.76171875,18.0
train(totalseg),s0421,F:\Totalsegmentator_dataset_v201\nii\s0421.nii.gz,1.5,1.5,1.5,245,245,171,367.5,367.5,256.5,-1095.0,3431.0,-503.3824462890625,485.98077392578125,-1021.0,-752.0,372.0,0.0015169113697037434,0.0006634660518742769,1.435546875,1.435546875,18.0
train(totalseg),s0419,F:\Totalsegmentator_dataset_v201\nii\s0419.nii.gz,1.5,1.5,1.5,288,288,164,432.0,432.0,246.0,-1227.0,3575.0,-565.3657836914062,487.71575927734375,-1024.0,-908.0,449.0,0.002836470672992806,0.0017799985591222995,1.6875,1.6875,18.0
train(totalseg),s0408,F:\Totalsegmentator_dataset_v201\nii\s0408.nii.gz,1.5,1.5,1.5,279,279,391,418.5,418.5,586.5,-1048.0,2303.0,-638.5284423828125,483.6286926269531,-1024.0,-958.0,600.0,0.0037534695937421147,0.0008122003532677265,1.634765625,1.634765625,18.0
train(totalseg),s0426,F:\Totalsegmentator_dataset_v201\nii\s0426.nii.gz,1.5,1.5,1.5,239,239,156,358.5,358.5,234.0,-1048.0,1710.0,-491.59857177734375,508.4129943847656,-1020.0,-791.0,574.0,0.0014869462948665002,0.0026804311134253854,1.400390625,1.400390625,18.0
train(totalseg),s0412,F:\Totalsegmentator_dataset_v201\nii\s0412.nii.gz,1.5,1.5,1.5,313,313,431,469.5,469.5,646.5,-1164.0,3423.0,-771.9820556640625,422.1986389160156,-1024.0,-990.0,352.0,0.003290258646111972,0.0023320978147263953,1.833984375,1.833984375,18.0
train(totalseg),s0422,F:\Totalsegmentator_dataset_v201\nii\s0422.nii.gz,1.5,1.5,1.5,247,247,226,370.5,370.5,339.0,-1039.0,3204.0,-563.55029296875,489.6458435058594,-1023.0,-899.0,373.0,0.0018693012204780374,0.00037721097414861,1.447265625,1.447265625,18.0
train(totalseg),s0435,F:\Totalsegmentator_dataset_v201\nii\s0435.nii.gz,1.5,1.5,1.5,121,121,113,181.5,181.5,169.5,-1093.0,3653.0,-298.4388732910156,564.784423828125,-1016.0,-206.0,747.0,0.001917877605197672,0.00552878236834009,0.708984375,0.708984375,18.0
train(totalseg),s0425,F:\Totalsegmentator_dataset_v201\nii\s0425.nii.gz,1.5,1.5,1.5,260,260,196,390.0,390.0,294.0,-1222.0,3188.0,-432.8402404785156,484.999755859375,-1024.0,-127.0,365.0,0.004545646661031276,0.0001632502113271344,1.5234375,1.5234375,18.0
train(totalseg),s0433,F:\Totalsegmentator_dataset_v201\nii\s0433.nii.gz,1.5,1.5,1.5,233,233,175,349.5,349.5,262.5,-1034.0,1969.0,-461.1224365234375,506.1900329589844,-1020.0,-672.0,552.0,0.0020898735076561154,0.0015793780902734836,1.365234375,1.365234375,18.0
train(totalseg),s0430,F:\Totalsegmentator_dataset_v201\nii\s0430.nii.gz,1.5,1.5,1.5,250,250,217,375.0,375.0,325.5,-1040.0,2581.0,-463.9989318847656,483.3352355957031,-1021.0,-516.0,373.0,0.0006348387096774194,0.00025806451612903227,1.46484375,1.46484375,18.0
train(totalseg),s0431,F:\Totalsegmentator_dataset_v201\nii\s0431.nii.gz,1.5,1.5,1.5,250,250,235,375.0,375.0,352.5,-1064.0,3445.0,-520.7147216796875,495.39984130859375,-1024.0,-846.0,413.0,0.0010370720579888863,0.00042975307445022653,1.46484375,1.46484375,18.0
train(totalseg),s0429,F:\Totalsegmentator_dataset_v201\nii\s0429.nii.gz,1.5,1.5,1.5,254,254,433,381.0,381.0,649.5,-1325.0,3297.0,-686.3687133789062,477.56689453125,-1024.0,-997.0,337.0,0.007437651223721903,0.0007973386629567783,1.48828125,1.48828125,18.0
train(totalseg),s0437,F:\Totalsegmentator_dataset_v201\nii\s0437.nii.gz,1.5,1.5,1.5,294,180,294,441.0,270.0,441.0,-1090.0,3093.0,-688.5728149414062,464.741943359375,-1024.0,-981.0,374.0,0.000572292409027103,0.0009723314873946556,1.0546875,1.72265625,18.0
train(totalseg),s0438,F:\Totalsegmentator_dataset_v201\nii\s0438.nii.gz,1.5,1.5,1.5,255,255,202,382.5,382.5,303.0,-1182.0,3375.0,-550.068603515625,498.8171081542969,-1024.0,-864.0,594.0,0.0036185619973183205,0.0031330671549682485,1.494140625,1.494140625,18.0
train(totalseg),s0423,F:\Totalsegmentator_dataset_v201\nii\s0423.nii.gz,1.5,1.5,1.5,272,272,441,408.0,408.0,661.5,-1059.0,3363.0,-585.041748046875,490.7757873535156,-1024.0,-923.0,359.0,0.0047586743030545555,0.0007898992930505536,1.59375,1.59375,18.0
train(totalseg),s0443,F:\Totalsegmentator_dataset_v201\nii\s0443.nii.gz,1.5,1.5,1.5,263,263,92,394.5,394.5,138.0,-1473.0,3525.0,-589.214599609375,508.7086486816406,-1032.0,-937.0,462.0,0.02451022605628181,0.0032057587999650508,1.541015625,1.541015625,18.0
train(totalseg),s0444,F:\Totalsegmentator_dataset_v201\nii\s0444.nii.gz,1.5,1.5,1.5,194,194,178,291.0,291.0,267.0,-1336.0,3528.0,-404.43328857421875,491.8128967285156,-1025.0,-165.0,571.0,0.01161808978016506,0.0026056811491746486,1.13671875,1.13671875,18.0
train(totalseg),s0428,F:\Totalsegmentator_dataset_v201\nii\s0428.nii.gz,1.5,1.5,1.5,307,307,317,460.5,460.5,475.5,-1218.0,1553.0,-484.6488342285156,489.22564697265625,-1024.0,-134.0,327.0,0.0069987087031001165,0.0006079939913525281,1.798828125,1.798828125,18.0
train(totalseg),s0436,F:\Totalsegmentator_dataset_v201\nii\s0436.nii.gz,1.0,1.0,1.0,238,158,421,238.0,158.0,421.0,-1255.990966796875,2328.983154296875,-379.8848571777344,473.38153076171875,-1013.9728393554688,-97.98155212402344,340.98114013671875,0.006022504296555024,0.0002506429041023068,0.6171875,0.9296875,12.0
train(totalseg),s0441,F:\Totalsegmentator_dataset_v201\nii\s0441.nii.gz,1.5,1.5,1.5,242,242,303,363.0,363.0,454.5,-3615.0,3140.0,-970.5520629882812,1165.4879150390625,-3024.0,-893.0,401.0,0.22469752568273862,0.000900766107660823,1.41796875,1.41796875,18.0
train(totalseg),s0439,F:\Totalsegmentator_dataset_v201\nii\s0439.nii.gz,1.5,1.5,1.5,307,221,334,460.5,331.5,501.0,-1063.0,3106.0,-587.6098022460938,477.2958068847656,-1024.0,-912.0,385.0,0.0005973282270948719,0.0012640270195704427,1.294921875,1.798828125,18.0
train(totalseg),s0442,F:\Totalsegmentator_dataset_v201\nii\s0442.nii.gz,1.5,1.5,1.5,264,264,178,396.0,396.0,267.0,-1050.0,1534.0,-480.6571350097656,483.9497985839844,-1024.0,-145.0,340.0,0.00295327461391323,0.0011098760346899739,1.546875,1.546875,18.0
train(totalseg),s0445,F:\Totalsegmentator_dataset_v201\nii\s0445.nii.gz,1.5,1.5,1.5,239,239,134,358.5,358.5,201.0,-1054.0,2236.0,-492.116943359375,477.42333984375,-1018.0,-500.0,292.0,0.0010075493035472216,0.0005429687377518481,1.400390625,1.400390625,18.0
train(totalseg),s0449,F:\Totalsegmentator_dataset_v201\nii\s0449.nii.gz,1.5,1.5,1.5,140,140,107,210.0,210.0,160.5,-1024.0,1982.0,-500.6171569824219,591.3069458007812,-1006.0,-933.0,1227.0,0.0,0.023813656303642954,0.8203125,0.8203125,18.0
train(totalseg),s0440,F:\Totalsegmentator_dataset_v201\nii\s0440.nii.gz,1.5,1.5,1.5,255,255,422,382.5,382.5,633.0,-1045.0,3048.0,-621.2460327148438,476.33197021484375,-1024.0,-950.0,328.0,0.0035989061447725557,0.0007091692006285586,1.494140625,1.494140625,18.0
train(totalseg),s0453,F:\Totalsegmentator_dataset_v201\nii\s0453.nii.gz,1.5,1.5,1.5,200,200,134,300.0,300.0,201.0,-1652.0,3666.0,-640.9588623046875,508.14801025390625,-1029.0,-960.0,747.0,0.018812123355947136,0.006572573400639291,1.171875,1.171875,18.0
train(totalseg),s0452,F:\Totalsegmentator_dataset_v201\nii\s0452.nii.gz,1.5,1.5,1.5,211,211,182,316.5,316.5,273.0,-1328.0,3411.0,-349.2572326660156,483.5517883300781,-1022.0,-102.0,503.0,0.006231777188819948,0.0016148688883198144,1.236328125,1.236328125,18.0
train(totalseg),s0450,F:\Totalsegmentator_dataset_v201\nii\s0450.nii.gz,1.5,1.5,1.5,213,213,238,319.5,319.5,357.0,-1039.0,1464.0,-294.9897766113281,460.0747375488281,-1016.0,-78.0,434.0,0.00010446551165596174,0.0006079003710192666,1.248046875,1.248046875,18.0
train(totalseg),s0460,F:\Totalsegmentator_dataset_v201\nii\s0460.nii.gz,1.5000001192092896,1.5,1.5,115,139,102,172.5000137090683,208.5,153.0,-1345.0,2052.0,-301.2902526855469,667.3150024414062,-1014.0,-72.0,1471.0,0.0044600636626248875,0.05470385839665863,0.814453125,0.673828178551048,18.0
train(totalseg),s0455,F:\Totalsegmentator_dataset_v201\nii\s0455.nii.gz,1.5,1.5,1.5,220,220,207,330.0,330.0,310.5,-1411.0,3701.0,-481.531494140625,500.3321533203125,-1038.0,-769.0,545.0,0.033218948377051145,0.0021391783447119415,1.2890625,1.2890625,18.0
train(totalseg),s0465,F:\Totalsegmentator_dataset_v201\nii\s0465.nii.gz,1.5,1.5,1.5,123,123,113,184.5,184.5,169.5,-1558.0,3503.0,-217.52642822265625,516.9105224609375,-1006.0,-37.0,735.0,0.0006188665383308269,0.000786159383286041,0.720703125,0.720703125,18.0
train(totalseg),s0459,F:\Totalsegmentator_dataset_v201\nii\s0459.nii.gz,1.5,1.5,1.5,212,212,312,318.0,318.0,468.0,-1515.0,3579.0,-570.896484375,494.2420959472656,-1014.0,-903.0,455.0,0.0009493295360151893,0.0011221942291718013,1.2421875,1.2421875,18.0
train(totalseg),s0446,F:\Totalsegmentator_dataset_v201\nii\s0446.nii.gz,1.5,1.5,1.5,239,239,427,358.5,358.5,640.5,-1200.0,3218.0,-569.1360473632812,502.3360900878906,-1019.0,-931.0,412.0,0.0014779826948639967,0.0009274034940726125,1.400390625,1.400390625,18.0
train(totalseg),s0454,F:\Totalsegmentator_dataset_v201\nii\s0454.nii.gz,1.5,1.5,1.5,311,311,221,466.5,466.5,331.5,-1432.0,3613.0,-571.9374389648438,494.0047302246094,-1024.0,-940.0,292.0,0.0036305850156416204,0.002496380993745925,1.822265625,1.822265625,18.0
train(totalseg),s0466,F:\Totalsegmentator_dataset_v201\nii\s0466.nii.gz,1.5,1.5,1.5,173,173,143,259.5,259.5,214.5,-1471.0,3428.0,-651.4165649414062,526.1369018554688,-1029.0,-962.0,1076.0,0.020285066198612662,0.010700146360338031,1.013671875,1.013671875,18.0
train(totalseg),s0458,F:\Totalsegmentator_dataset_v201\nii\s0458.nii.gz,1.5,1.5,1.5,243,243,291,364.5,364.5,436.5,-1240.0,3404.0,-418.1728210449219,490.14202880859375,-1020.0,-123.0,389.0,0.001440355406387112,0.0024653646901324133,1.423828125,1.423828125,18.0
train(totalseg),s0447,F:\Totalsegmentator_dataset_v201\nii\s0447.nii.gz,1.5,1.5,1.5,285,285,427,427.5,427.5,640.5,-1043.0,2987.0,-711.041259765625,446.389404296875,-1024.0,-992.0,303.0,0.0022835339556309354,0.00043490942154970994,1.669921875,1.669921875,18.0
train(totalseg),s0463,F:\Totalsegmentator_dataset_v201\nii\s0463.nii.gz,1.5,1.5,1.5,221,221,216,331.5,331.5,324.0,-1500.0,3332.0,-550.8776245117188,524.75537109375,-1024.0,-853.0,567.0,0.007259383623503932,0.0015367325721331578,1.294921875,1.294921875,18.0
train(totalseg),s0457,F:\Totalsegmentator_dataset_v201\nii\s0457.nii.gz,1.0,1.0,1.0,236,187,290,236.0,187.0,290.0,-1220.0,3092.000244140625,-434.23114013671875,480.0379943847656,-1009.0302124023438,-208.97764587402344,455.98199462890625,0.002599098847798478,0.0012754836938270308,0.73046875,0.921875,12.0
train(totalseg),s0456,F:\Totalsegmentator_dataset_v201\nii\s0456.nii.gz,1.5,1.5,1.5,265,265,390,397.5,397.5,585.0,-1481.0,3219.0,-623.6381225585938,474.9264221191406,-1024.0,-945.0,327.0,0.0028850852746147254,0.001091363759975627,1.552734375,1.552734375,18.0
train(totalseg),s0462,F:\Totalsegmentator_dataset_v201\nii\s0462.nii.gz,1.0,1.0,1.0,194,193,336,194.0,193.0,336.0,-1326.9813232421875,3515.98779296875,-489.9897155761719,506.7539367675781,-1024.0240478515625,-772.0343627929688,586.0267333984375,0.015117826683047559,0.0026157123016932854,0.75390625,0.7578125,12.0
train(totalseg),s0474,F:\Totalsegmentator_dataset_v201\nii\s0474.nii.gz,1.5,1.5,1.5,137,137,73,205.5,205.5,109.5,-1042.0,3097.0,-386.4875183105469,682.2470092773438,-1024.0,-612.0,1811.0,0.0024574184917274698,0.047599619600083784,0.802734375,0.802734375,18.0
train(totalseg),s0471,F:\Totalsegmentator_dataset_v201\nii\s0471.nii.gz,1.5,1.5,1.5,227,227,142,340.5,340.5,213.0,-1052.0,3384.0,-422.24163818359375,472.4918212890625,-1019.0,-120.0,298.0,0.001984933963089303,0.00021702527770488936,1.330078125,1.330078125,18.0
train(totalseg),s0469,F:\Totalsegmentator_dataset_v201\nii\s0469.nii.gz,1.5,1.5,1.5,210,210,236,315.0,315.0,354.0,-1256.0,3642.0,-574.8162841796875,490.4355163574219,-1013.0,-887.0,520.0,0.00027441485068603713,0.0013034705407586763,1.23046875,1.23046875,18.0
train(totalseg),s0461,F:\Totalsegmentator_dataset_v201\nii\s0461.nii.gz,1.5,1.5,1.5,269,269,447,403.5,403.5,670.5,-1054.0,2341.0,-640.977783203125,488.62744140625,-1024.0,-957.0,459.0,0.003624382380750409,0.00193938094329597,1.576171875,1.576171875,18.0
train(totalseg),s0470,F:\Totalsegmentator_dataset_v201\nii\s0470.nii.gz,1.5,1.5,1.5,233,233,228,349.5,349.5,342.0,-1249.0,3315.0,-500.3060607910156,514.9283447265625,-1030.0,-835.0,629.0,0.0225712009075532,0.0035305674299923487,1.365234375,1.365234375,18.0
train(totalseg),s0475,F:\Totalsegmentator_dataset_v201\nii\s0475.nii.gz,1.5,1.5,1.5,277,277,225,415.5,415.5,337.5,-1446.0,3665.0,-723.927001953125,484.6351013183594,-1024.0,-1022.0,355.0,0.0060488211758266104,0.00236989925582244,1.623046875,1.623046875,18.0
train(totalseg),s0478,F:\Totalsegmentator_dataset_v201\nii\s0478.nii.gz,1.5,1.5,1.5,181,181,237,271.5,271.5,355.5,-1037.0,3094.0,-684.8133544921875,492.2537536621094,-1013.0,-987.0,843.0,3.863808478741326e-05,0.006623598081490297,1.060546875,1.060546875,18.0
train(totalseg),s0473,F:\Totalsegmentator_dataset_v201\nii\s0473.nii.gz,1.5,1.5,1.5,243,243,289,364.5,364.5,433.5,-1056.0,1628.0,-531.28271484375,489.96826171875,-1020.0,-891.0,334.0,0.001186628124985167,0.0007562776583238799,1.423828125,1.423828125,18.0
train(totalseg),s0481,F:\Totalsegmentator_dataset_v201\nii\s0481.nii.gz,1.5,1.5,1.5,207,207,185,310.5,310.5,277.5,-1158.0,3202.0,-424.28955078125,495.5530090332031,-1028.0,-271.0,716.0,0.015017406183471619,0.004009553090751839,1.212890625,1.212890625,18.0
train(totalseg),s0486,F:\Totalsegmentator_dataset_v201\nii\s0486.nii.gz,1.5,1.5,1.5,249,249,130,373.5,373.5,195.0,-3607.0,2166.0,-872.3919067382812,1206.199462890625,-3024.0,-297.0,538.0,0.2426623391930403,0.0028181927586775897,1.458984375,1.458984375,18.0
train(totalseg),s0477,F:\Totalsegmentator_dataset_v201\nii\s0477.nii.gz,1.5,1.5,1.5,243,243,404,364.5,364.5,606.0,-1422.0,3585.0,-631.4246215820312,476.9100646972656,-1020.0,-929.0,327.0,0.001997501990711188,0.0008350172008513151,1.423828125,1.423828125,18.0
train(totalseg),s0482,F:\Totalsegmentator_dataset_v201\nii\s0482.nii.gz,1.5,1.5,1.5,241,241,265,361.5,361.5,397.5,-1072.0,3466.0,-667.5286254882812,450.0065002441406,-1023.0,-955.0,346.0,0.001817110150348193,0.0020951862174066263,1.412109375,1.412109375,18.0
train(totalseg),s0472,F:\Totalsegmentator_dataset_v201\nii\s0472.nii.gz,1.5,1.5,1.5,296,296,393,444.0,444.0,589.5,-1249.0,3134.0,-639.455322265625,465.7823791503906,-1024.0,-955.0,307.0,0.004532266917588019,0.0007877884942105126,1.734375,1.734375,18.0
train(totalseg),s0480,F:\Totalsegmentator_dataset_v201\nii\s0480.nii.gz,1.5,1.5,1.5,233,233,328,349.5,349.5,492.0,-1085.0,3309.0,-367.4822692871094,483.2738037109375,-1024.0,-95.0,409.0,0.003445987506905369,0.002062133914369889,1.365234375,1.365234375,18.0
train(totalseg),s0484,F:\Totalsegmentator_dataset_v201\nii\s0484.nii.gz,1.5,1.5,1.5,241,241,421,361.5,361.5,631.5,-1290.0,2284.0,-604.4546508789062,501.7929992675781,-1024.0,-967.0,324.0,0.0062926284908909474,0.0004354226710070704,1.412109375,1.412109375,18.0
train(totalseg),s0476,F:\Totalsegmentator_dataset_v201\nii\s0476.nii.gz,1.5,1.5,1.5,283,283,463,424.5,424.5,694.5,-1249.0,2003.0,-517.49853515625,485.090087890625,-1024.0,-840.0,325.0,0.0023892689390426426,0.0005953957767890952,1.658203125,1.658203125,18.0
train(totalseg),s0468,F:\Totalsegmentator_dataset_v201\nii\s0468.nii.gz,1.5,1.5,1.5,233,233,838,349.5,349.5,1257.0,-1075.0,1750.0,-633.8661499023438,491.7757568359375,-1012.0,-965.0,449.0,0.0003857416147963001,0.0035672252083914727,1.365234375,1.365234375,18.0
train(totalseg),s0487,F:\Totalsegmentator_dataset_v201\nii\s0487.nii.gz,1.5,1.5,1.5,214,214,203,321.0,321.0,304.5,-3738.0,3625.0,-1001.5274047851562,1139.6455078125,-3024.0,-902.0,667.0,0.24512106051788882,0.00458447667370509,1.25390625,1.25390625,18.0
train(totalseg),s0467,F:\Totalsegmentator_dataset_v201\nii\s0467.nii.gz,1.5,1.5,1.5,320,320,495,480.0,480.0,742.5,-1222.0,3406.0,-613.66552734375,483.6329040527344,-1024.0,-953.0,433.0,0.003596747743953827,0.001683474913812958,1.875,1.875,18.0
train(totalseg),s0483,F:\Totalsegmentator_dataset_v201\nii\s0483.nii.gz,1.5,1.5,1.5,266,266,444,399.0,399.0,666.0,-1241.0,3216.0,-662.4066162109375,484.3351745605469,-1024.0,-1001.0,306.0,0.005801437142948817,0.0003249334472128299,1.55859375,1.55859375,18.0
